timestamp,incident_id,zone_id,defect_type,surface_area_m2,urgency_score,action_status
2026-08-11 22:27:56,INF-20260811-001,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.43,3.9,LOGGED
2026-08-11 22:27:58,INF-20260811-002,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.45,4.0,LOGGED
2026-08-11 22:28:00,INF-20260811-003,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.68,6.1,LOGGED
2026-08-11 22:28:08,INF-20260811-004,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.35,3.1,LOGGED
2026-08-11 22:28:10,INF-20260811-005,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.28,2.5,LOGGED
2026-08-11 22:28:10,INF-20260811-006,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.29,2.6,LOGGED
2026-08-11 22:28:12,INF-20260811-007,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.33,3.0,LOGGED
2026-08-11 22:28:12,INF-20260811-008,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.49,4.4,LOGGED
2026-08-11 22:28:14,INF-20260811-009,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.27,2.4,LOGGED
2026-08-11 22:28:14,INF-20260811-010,ELCIA_WEST_PHASE_GATE4,POTHOLE_SEVERITY_HIGH,0.97,8.7,DISPATCH_REQUIRED
2026-08-11 22:28:18,INF-20260811-011,ELCIA_WEST_PHASE_GATE4,POTHOLE_SEVERITY_HIGH,4.03,10.0,DISPATCH_REQUIRED
2026-08-11 22:28:24,INF-20260811-012,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.26,2.3,LOGGED
2026-08-11 22:28:24,INF-20260811-013,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.27,2.4,LOGGED
2026-08-11 22:28:26,INF-20260811-014,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.4,3.6,LOGGED
2026-08-11 22:28:26,INF-20260811-015,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.15,1.3,LOGGED
2026-08-11 22:28:26,INF-20260811-016,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.15,1.3,LOGGED
2026-08-11 22:28:28,INF-20260811-017,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.65,5.8,LOGGED
2026-08-11 22:28:31,INF-20260811-018,ELCIA_WEST_PHASE_GATE4,POTHOLE_SEVERITY_HIGH,0.96,8.6,DISPATCH_REQUIRED
2026-08-11 22:28:33,INF-20260811-019,ELCIA_WEST_PHASE_GATE4,POTHOLE_SEVERITY_HIGH,1.67,10.0,DISPATCH_REQUIRED
2026-08-11 22:28:33,INF-20260811-020,ELCIA_WEST_PHASE_GATE4,POTHOLE_SEVERITY_HIGH,1.65,10.0,DISPATCH_REQUIRED
2026-08-11 22:28:41,INF-20260811-021,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.68,6.1,LOGGED
2026-08-11 22:29:01,INF-20260811-022,ELCIA_WEST_PHASE_GATE4,WATERLOGGING_ZONE,0.31,2.8,LOGGED
